isolate_code,species,region,site,environment,sampling_source,esbl,AM,AMC,AMI,AMO,AMP,AN,C,CF,CFA,CFO,CFP,CFT,CFV,CFX,CFZ,CHL,CN,CPD,CPT,CTF,CTX,CZA,DO,DOX,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,NAL,NEO,NIT,NLA,PRA,SXT,TE,TET
EC_PGRWR2C6,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGRWR3C1,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGRWR3C2,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR1C2,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,I,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR1C6,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR1C7,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR1C11,Escherichia Coli,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,R,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_PGFTR1C12,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR1C15,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR1C16,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR2C1,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR2C6,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR3C5,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFTR3C7,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
